Vendor,Phone numbers,Email,Full name,Billing address,Bill city,Bill state,Bill street,Bill zip,Billing rate,Bill country,Company,Phone,Modified on,Terms,Tax ID,Website
23 Erlanger Rd LLC,,,23 Erlanger Rd LLC,23 Eralnger Rd Erlanger KY 41018 United States,Erlanger,KY,23 Eralnger Rd,41018,,United States,23 Erlanger Rd LLC,,10/15/2025 17:21:42 a,,,
A-1 Concrete Leveling,,a1concretecincy@gmail.com,,4124 31st Ave Cincinnati OH 45209,Cincinnati,OH,4124 31st Ave,45209,,,"Morton Investments, LLC",,10/16/2025 08:32:30 a,,46-3171013,
ABC Supply Company,,,ABC Supply Company,United States,,,,,,United States,ABC Supply Company,,10/15/2025 17:21:42 a,,,
A&B Flooring,Phone:(937) 949-8112 ,,Ryan,6098 Executive Blvd Huber Heights OH 45424,Huber Heights,OH,6098 Executive Blvd,45424,,,Donnie M Hall,(937) 949-8112,01/20/2026 10:59:43 a,,83-1797062,http://www.goabflooring.com
"Acme Lock Company, LLC",,accounting@acmelock.com,,6270 Este Ave Cincinnati OH 45232,Cincinnati,OH,6270 Este Ave,45232,,,"Acme Lock Company, LLC",,10/16/2025 08:36:43 a,,85-3998574,
"Action Heating & Air, Inc.",Phone:(859) 331-2641 ,office@actionheatingandair.com,,2552 Ritchie Ave Crescent Springs KY 41018,Crescent Springs,KY,2552 Ritchie Ave,41018,,,"Action Heating & Air, Inc.",(859) 331-2641,01/14/2026 15:31:12 a,,61-1134188,http://www.actionheatingandair.com
"Advanced Blueprint and Copy, Inc.",,,Advanced  Blueprint,,,,,,0.00,,"Advanced Blueprint and Copy, Inc.",,11/24/2025 07:07:21 a,,,
Advance Turf Solution,,,Advance Turf Solution,United States,,,,,,United States,Advance Turf Solution,,10/15/2025 17:21:42 a,,,
Affordable Landscape Supplies,,,Affordable Landscape Supplies,4346 Bullittsville Rd Burlington KY 41005 United States,Burlington,KY,4346 Bullittsville Rd,41005,,United States,Affordable Landscape Supplies,,10/15/2025 17:21:42 a,,,
Airport Ford,,,Airport  Ford,8001 Burlington Pike Florence KY 41042 United States,Florence,KY,8001 Burlington Pike,41042,,United States,Airport Ford,,10/15/2025 17:21:42 a,,,
